address,round(avg(available_bikes)),HOUR,DOW,last_update,rain_in_mm
Lime Street,14,6,Thursday,29/03/2018 06:02,0
Lime Street,29,7,Thursday,29/03/2018 07:03,0
Lime Street,40,8,Thursday,29/03/2018 08:00,0
Lime Street,28,9,Thursday,29/03/2018 09:00,0
Lime Street,34,10,Thursday,29/03/2018 10:02,0
Lime Street,33,11,Thursday,29/03/2018 11:05,10
Lime Street,25,12,Thursday,29/03/2018 12:01,30
Lime Street,29,13,Thursday,29/03/2018 13:04,30
Lime Street,33,14,Thursday,29/03/2018 14:05,45
Lime Street,32,15,Thursday,29/03/2018 15:01,40
Lime Street,21,16,Thursday,29/03/2018 16:02,30
Lime Street,12,17,Thursday,29/03/2018 17:02,30
Lime Street,11,18,Thursday,29/03/2018 18:02,30
Lime Street,9,19,Thursday,29/03/2018 19:04,40
Lime Street,10,20,Thursday,29/03/2018 20:09,30
Lime Street,8,21,Thursday,29/03/2018 21:07,25
Lime Street,8,22,Thursday,29/03/2018 22:08,30
Lime Street,8,23,Thursday,29/03/2018 23:04,40
Lime Street,10,6,Friday,30/03/2018 06:09,0
Lime Street,15,7,Friday,30/03/2018 07:04,0
Lime Street,20,8,Friday,30/03/2018 08:01,0
Lime Street,13,9,Friday,30/03/2018 09:06,0
Lime Street,13,10,Friday,30/03/2018 10:08,20
Lime Street,10,11,Friday,30/03/2018 11:01,20
Lime Street,9,12,Friday,30/03/2018 12:06,20
Lime Street,7,13,Friday,30/03/2018 13:09,20
Lime Street,9,14,Friday,30/03/2018 14:03,20
Lime Street,10,15,Friday,30/03/2018 15:01,0
Lime Street,9,16,Friday,30/03/2018 16:06,0
Lime Street,11,17,Friday,30/03/2018 17:00,20
Lime Street,11,18,Friday,30/03/2018 18:07,0
Lime Street,11,19,Friday,30/03/2018 19:02,0
Lime Street,11,20,Friday,30/03/2018 20:07,0
Lime Street,11,21,Friday,30/03/2018 21:10,0
Lime Street,12,22,Friday,30/03/2018 22:00,0
Lime Street,12,23,Friday,30/03/2018 23:01,0
Lime Street,14,6,Saturday,31/03/2018 06:05,0
Lime Street,13,7,Saturday,31/03/2018 07:08,0
Lime Street,17,8,Saturday,31/03/2018 08:00,0
Lime Street,16,9,Saturday,31/03/2018 09:03,0
Lime Street,2,10,Saturday,31/03/2018 10:04,0
Lime Street,1,11,Saturday,31/03/2018 11:07,0
Lime Street,1,12,Saturday,31/03/2018 12:07,0
Lime Street,2,13,Saturday,31/03/2018 13:08,0
Lime Street,1,14,Saturday,31/03/2018 14:08,0
Lime Street,2,15,Saturday,31/03/2018 15:08,0
Lime Street,3,16,Saturday,31/03/2018 16:10,0
Lime Street,3,17,Saturday,31/03/2018 17:04,0
Lime Street,2,18,Saturday,31/03/2018 18:08,0
Lime Street,5,19,Saturday,31/03/2018 19:00,0
Lime Street,5,20,Saturday,31/03/2018 20:06,0
Lime Street,4,21,Saturday,31/03/2018 21:01,0
Lime Street,4,22,Saturday,31/03/2018 22:02,0
Lime Street,6,23,Saturday,31/03/2018 23:04,0
Lime Street,7,6,Sunday,01/04/2018 06:02,30
Lime Street,7,7,Sunday,01/04/2018 07:04,30
Lime Street,7,8,Sunday,01/04/2018 08:00,0
Lime Street,8,9,Sunday,01/04/2018 09:06,0
Lime Street,8,10,Sunday,01/04/2018 10:02,0
Lime Street,10,11,Sunday,01/04/2018 11:06,0
Lime Street,10,12,Sunday,01/04/2018 12:02,0
Lime Street,9,13,Sunday,01/04/2018 13:10,0
Lime Street,7,14,Sunday,01/04/2018 14:09,0
Lime Street,10,15,Sunday,01/04/2018 15:00,0
Lime Street,11,16,Sunday,01/04/2018 16:04,0
Lime Street,12,17,Sunday,01/04/2018 17:02,0
Lime Street,12,18,Sunday,01/04/2018 18:02,0
Lime Street,15,19,Sunday,01/04/2018 19:07,0
Lime Street,16,20,Sunday,01/04/2018 20:01,45
Lime Street,18,21,Sunday,01/04/2018 21:11,50
Lime Street,18,22,Sunday,01/04/2018 22:02,50
Lime Street,18,23,Sunday,01/04/2018 23:02,60
Lime Street,17,6,Monday,02/04/2018 06:02,70
Lime Street,17,7,Monday,02/04/2018 07:07,70
Lime Street,20,8,Monday,02/04/2018 08:02,60
Lime Street,20,9,Monday,02/04/2018 09:03,70
Lime Street,19,10,Monday,02/04/2018 10:01,65
Lime Street,20,11,Monday,02/04/2018 11:00,70
Lime Street,21,12,Monday,02/04/2018 12:03,70
Lime Street,21,13,Monday,02/04/2018 13:04,70
Lime Street,22,14,Monday,02/04/2018 14:06,60
Lime Street,24,15,Monday,02/04/2018 15:04,60
Lime Street,24,16,Monday,02/04/2018 16:02,60
Lime Street,25,17,Monday,02/04/2018 17:07,50
Lime Street,27,18,Monday,02/04/2018 18:09,40
Lime Street,27,19,Monday,02/04/2018 19:03,0
Lime Street,27,20,Monday,02/04/2018 20:09,0
Lime Street,26,21,Monday,02/04/2018 21:06,40
Lime Street,25,22,Monday,02/04/2018 22:02,50
Lime Street,25,23,Monday,02/04/2018 23:05,60
Lime Street,19,6,Tuesday,03/04/2018 06:06,0
Lime Street,31,7,Tuesday,03/04/2018 07:00,20
Lime Street,40,8,Tuesday,03/04/2018 08:01,20
Lime Street,26,9,Tuesday,03/04/2018 09:02,0
Lime Street,24,10,Tuesday,03/04/2018 10:10,0
Lime Street,23,11,Tuesday,03/04/2018 11:02,0
Lime Street,26,12,Tuesday,03/04/2018 12:03,30
Lime Street,30,13,Tuesday,03/04/2018 13:03,40
Lime Street,33,14,Tuesday,03/04/2018 14:04,20
Lime Street,32,15,Tuesday,03/04/2018 15:03,20
Lime Street,25,16,Tuesday,03/04/2018 16:04,30
Lime Street,9,17,Tuesday,03/04/2018 17:03,0
Lime Street,2,18,Tuesday,03/04/2018 18:00,0
Lime Street,1,19,Tuesday,03/04/2018 19:09,0
Lime Street,0,20,Tuesday,03/04/2018 20:01,0
Lime Street,0,21,Tuesday,03/04/2018 21:09,0
Lime Street,1,22,Tuesday,03/04/2018 22:00,0
Lime Street,1,23,Tuesday,03/04/2018 23:02,0
Lime Street,6,6,Wednesday,04/04/2018 06:01,40
Lime Street,6,7,Wednesday,04/04/2018 07:00,40
Lime Street,21,8,Wednesday,04/04/2018 08:03,30
Lime Street,16,9,Wednesday,04/04/2018 09:03,40
Lime Street,15,10,Wednesday,04/04/2018 10:06,40
Lime Street,16,11,Wednesday,04/04/2018 11:05,20
Lime Street,10,12,Wednesday,04/04/2018 12:01,0
Lime Street,11,13,Wednesday,04/04/2018 13:04,10
Lime Street,7,14,Wednesday,04/04/2018 14:00,0
Lime Street,3,15,Wednesday,04/04/2018 15:06,20
Lime Street,2,16,Wednesday,04/04/2018 16:04,20
Lime Street,1,17,Wednesday,04/04/2018 17:04,40
Lime Street,2,18,Wednesday,04/04/2018 18:02,0
Lime Street,0,19,Wednesday,04/04/2018 19:01,0
Lime Street,2,20,Wednesday,04/04/2018 20:03,0
Lime Street,1,21,Wednesday,04/04/2018 21:05,40
Lime Street,2,22,Wednesday,04/04/2018 22:09,30
Lime Street,1,23,Wednesday,04/04/2018 23:00,30
