address,round(avg(available_bikes)),HOUR,DOW,last_update,rain_in_mm
New Central Bank,12,6,Thursday,29/03/2018 06:02,0
New Central Bank,17,7,Thursday,29/03/2018 07:03,0
New Central Bank,20,8,Thursday,29/03/2018 08:00,0
New Central Bank,23,9,Thursday,29/03/2018 09:00,0
New Central Bank,25,10,Thursday,29/03/2018 10:06,0
New Central Bank,23,11,Thursday,29/03/2018 11:09,10
New Central Bank,20,12,Thursday,29/03/2018 12:00,30
New Central Bank,22,13,Thursday,29/03/2018 13:05,30
New Central Bank,20,14,Thursday,29/03/2018 14:03,45
New Central Bank,11,15,Thursday,29/03/2018 15:02,40
New Central Bank,1,16,Thursday,29/03/2018 16:02,30
New Central Bank,2,17,Thursday,29/03/2018 17:03,30
New Central Bank,6,18,Thursday,29/03/2018 18:03,30
New Central Bank,11,19,Thursday,29/03/2018 19:03,40
New Central Bank,10,20,Thursday,29/03/2018 20:01,30
New Central Bank,9,21,Thursday,29/03/2018 21:00,25
New Central Bank,9,22,Thursday,29/03/2018 22:01,30
New Central Bank,8,23,Thursday,29/03/2018 23:00,40
New Central Bank,4,6,Friday,30/03/2018 06:06,0
New Central Bank,8,7,Friday,30/03/2018 07:03,0
New Central Bank,8,8,Friday,30/03/2018 08:06,0
New Central Bank,4,9,Friday,30/03/2018 09:02,0
New Central Bank,0,10,Friday,30/03/2018 10:02,20
New Central Bank,0,11,Friday,30/03/2018 11:02,20
New Central Bank,1,12,Friday,30/03/2018 12:01,20
New Central Bank,0,13,Friday,30/03/2018 13:03,20
New Central Bank,1,14,Friday,30/03/2018 14:03,20
New Central Bank,2,15,Friday,30/03/2018 15:08,0
New Central Bank,3,16,Friday,30/03/2018 16:03,0
New Central Bank,0,17,Friday,30/03/2018 17:02,20
New Central Bank,4,18,Friday,30/03/2018 18:04,0
New Central Bank,8,19,Friday,30/03/2018 19:03,0
New Central Bank,10,20,Friday,30/03/2018 20:05,0
New Central Bank,11,21,Friday,30/03/2018 21:07,0
New Central Bank,12,22,Friday,30/03/2018 22:06,0
New Central Bank,13,23,Friday,30/03/2018 23:06,0
New Central Bank,11,6,Saturday,31/03/2018 06:07,0
New Central Bank,9,7,Saturday,31/03/2018 07:05,0
New Central Bank,6,8,Saturday,31/03/2018 08:03,0
New Central Bank,8,9,Saturday,31/03/2018 09:03,0
New Central Bank,5,10,Saturday,31/03/2018 10:01,0
New Central Bank,2,11,Saturday,31/03/2018 11:00,0
New Central Bank,1,12,Saturday,31/03/2018 12:09,0
New Central Bank,0,13,Saturday,31/03/2018 13:03,0
New Central Bank,0,14,Saturday,31/03/2018 14:08,0
New Central Bank,1,15,Saturday,31/03/2018 15:05,0
New Central Bank,1,16,Saturday,31/03/2018 16:09,0
New Central Bank,1,17,Saturday,31/03/2018 17:09,0
New Central Bank,4,18,Saturday,31/03/2018 18:03,0
New Central Bank,4,19,Saturday,31/03/2018 19:05,0
New Central Bank,1,20,Saturday,31/03/2018 20:01,0
New Central Bank,1,21,Saturday,31/03/2018 21:02,0
New Central Bank,2,22,Saturday,31/03/2018 22:03,0
New Central Bank,2,23,Saturday,31/03/2018 23:05,0
New Central Bank,1,6,Sunday,01/04/2018 06:02,30
New Central Bank,2,7,Sunday,01/04/2018 07:01,30
New Central Bank,3,8,Sunday,01/04/2018 08:07,0
New Central Bank,6,9,Sunday,01/04/2018 09:02,0
New Central Bank,4,10,Sunday,01/04/2018 10:03,0
New Central Bank,5,11,Sunday,01/04/2018 11:09,0
New Central Bank,4,12,Sunday,01/04/2018 12:01,0
New Central Bank,5,13,Sunday,01/04/2018 13:08,0
New Central Bank,5,14,Sunday,01/04/2018 14:07,0
New Central Bank,4,15,Sunday,01/04/2018 15:05,0
New Central Bank,4,16,Sunday,01/04/2018 16:06,0
New Central Bank,3,17,Sunday,01/04/2018 17:01,0
New Central Bank,7,18,Sunday,01/04/2018 18:01,0
New Central Bank,6,19,Sunday,01/04/2018 19:02,0
New Central Bank,5,20,Sunday,01/04/2018 20:09,45
New Central Bank,3,21,Sunday,01/04/2018 21:00,50
New Central Bank,2,22,Sunday,01/04/2018 22:02,50
New Central Bank,3,23,Sunday,01/04/2018 23:10,60
New Central Bank,5,6,Monday,02/04/2018 06:02,70
New Central Bank,5,7,Monday,02/04/2018 07:06,70
New Central Bank,7,8,Monday,02/04/2018 08:06,60
New Central Bank,8,9,Monday,02/04/2018 09:01,70
New Central Bank,7,10,Monday,02/04/2018 10:09,65
New Central Bank,6,11,Monday,02/04/2018 11:00,70
New Central Bank,5,12,Monday,02/04/2018 12:02,70
New Central Bank,4,13,Monday,02/04/2018 13:04,70
New Central Bank,5,14,Monday,02/04/2018 14:05,60
New Central Bank,9,15,Monday,02/04/2018 15:03,60
New Central Bank,12,16,Monday,02/04/2018 16:07,60
New Central Bank,9,17,Monday,02/04/2018 17:03,50
New Central Bank,9,18,Monday,02/04/2018 18:02,40
New Central Bank,9,19,Monday,02/04/2018 19:07,0
New Central Bank,10,20,Monday,02/04/2018 20:09,0
New Central Bank,9,21,Monday,02/04/2018 21:09,40
New Central Bank,9,22,Monday,02/04/2018 22:01,50
New Central Bank,9,23,Monday,02/04/2018 23:02,60
New Central Bank,9,6,Tuesday,03/04/2018 06:07,0
New Central Bank,13,7,Tuesday,03/04/2018 07:02,20
New Central Bank,20,8,Tuesday,03/04/2018 08:01,20
New Central Bank,21,9,Tuesday,03/04/2018 09:04,0
New Central Bank,22,10,Tuesday,03/04/2018 10:01,0
New Central Bank,21,11,Tuesday,03/04/2018 11:09,0
New Central Bank,21,12,Tuesday,03/04/2018 12:04,30
