address,round(avg(available_bikes)),HOUR,DOW,last_update,rain_in_mm
Oliver Bond Street,8,6,Thursday,29/03/2018 06:02,0
Oliver Bond Street,2,7,Thursday,29/03/2018 07:05,0
Oliver Bond Street,1,8,Thursday,29/03/2018 08:04,0
Oliver Bond Street,0,9,Thursday,29/03/2018 09:08,0
Oliver Bond Street,0,10,Thursday,29/03/2018 10:05,0
Oliver Bond Street,1,11,Thursday,29/03/2018 11:05,10
Oliver Bond Street,1,12,Thursday,29/03/2018 12:04,30
Oliver Bond Street,5,13,Thursday,29/03/2018 13:09,30
Oliver Bond Street,8,14,Thursday,29/03/2018 14:01,45
Oliver Bond Street,8,15,Thursday,29/03/2018 15:07,40
Oliver Bond Street,14,16,Thursday,29/03/2018 16:06,30
Oliver Bond Street,16,17,Thursday,29/03/2018 17:02,30
Oliver Bond Street,14,18,Thursday,29/03/2018 18:00,30
Oliver Bond Street,16,19,Thursday,29/03/2018 19:01,40
Oliver Bond Street,18,20,Thursday,29/03/2018 20:01,30
Oliver Bond Street,18,21,Thursday,29/03/2018 21:04,25
Oliver Bond Street,17,22,Thursday,29/03/2018 22:07,30
Oliver Bond Street,17,23,Thursday,29/03/2018 23:08,40
Oliver Bond Street,27,6,Friday,30/03/2018 06:01,0
Oliver Bond Street,23,7,Friday,30/03/2018 07:06,0
Oliver Bond Street,19,8,Friday,30/03/2018 08:00,0
Oliver Bond Street,18,9,Friday,30/03/2018 09:05,0
Oliver Bond Street,18,10,Friday,30/03/2018 10:00,20
Oliver Bond Street,17,11,Friday,30/03/2018 11:03,20
Oliver Bond Street,17,12,Friday,30/03/2018 12:03,20
Oliver Bond Street,19,13,Friday,30/03/2018 13:00,20
Oliver Bond Street,18,14,Friday,30/03/2018 14:02,20
Oliver Bond Street,19,15,Friday,30/03/2018 15:05,0
Oliver Bond Street,15,16,Friday,30/03/2018 16:09,0
Oliver Bond Street,11,17,Friday,30/03/2018 17:01,20
Oliver Bond Street,8,18,Friday,30/03/2018 18:02,0
Oliver Bond Street,8,19,Friday,30/03/2018 19:06,0
Oliver Bond Street,6,20,Friday,30/03/2018 20:03,0
Oliver Bond Street,7,21,Friday,30/03/2018 21:05,0
Oliver Bond Street,7,22,Friday,30/03/2018 22:06,0
Oliver Bond Street,9,23,Friday,30/03/2018 23:01,0
Oliver Bond Street,7,6,Saturday,31/03/2018 06:09,0
Oliver Bond Street,6,7,Saturday,31/03/2018 07:05,0
Oliver Bond Street,21,8,Saturday,31/03/2018 08:09,0
Oliver Bond Street,23,9,Saturday,31/03/2018 09:09,0
Oliver Bond Street,22,10,Saturday,31/03/2018 10:00,0
Oliver Bond Street,20,11,Saturday,31/03/2018 11:07,0
Oliver Bond Street,19,12,Saturday,31/03/2018 12:04,0
Oliver Bond Street,18,13,Saturday,31/03/2018 13:00,0
Oliver Bond Street,16,14,Saturday,31/03/2018 14:09,0
Oliver Bond Street,14,15,Saturday,31/03/2018 15:07,0
Oliver Bond Street,16,16,Saturday,31/03/2018 16:00,0
Oliver Bond Street,19,17,Saturday,31/03/2018 17:03,0
Oliver Bond Street,18,18,Saturday,31/03/2018 18:10,0
Oliver Bond Street,16,19,Saturday,31/03/2018 19:06,0
Oliver Bond Street,15,20,Saturday,31/03/2018 20:08,0
Oliver Bond Street,15,21,Saturday,31/03/2018 21:09,0
Oliver Bond Street,16,22,Saturday,31/03/2018 22:00,0
Oliver Bond Street,17,23,Saturday,31/03/2018 23:06,0
Oliver Bond Street,15,6,Sunday,01/04/2018 06:06,30
Oliver Bond Street,15,7,Sunday,01/04/2018 07:07,30
Oliver Bond Street,15,8,Sunday,01/04/2018 08:04,0
Oliver Bond Street,17,9,Sunday,01/04/2018 09:03,0
Oliver Bond Street,16,10,Sunday,01/04/2018 10:06,0
Oliver Bond Street,16,11,Sunday,01/04/2018 11:01,0
Oliver Bond Street,17,12,Sunday,01/04/2018 12:08,0
Oliver Bond Street,15,13,Sunday,01/04/2018 13:04,0
Oliver Bond Street,13,14,Sunday,01/04/2018 14:04,0
Oliver Bond Street,11,15,Sunday,01/04/2018 15:02,0
Oliver Bond Street,13,16,Sunday,01/04/2018 16:08,0
Oliver Bond Street,14,17,Sunday,01/04/2018 17:08,0
Oliver Bond Street,15,18,Sunday,01/04/2018 18:02,0
Oliver Bond Street,14,19,Sunday,01/04/2018 19:05,0
Oliver Bond Street,16,20,Sunday,01/04/2018 20:02,45
Oliver Bond Street,16,21,Sunday,01/04/2018 21:03,50
Oliver Bond Street,15,22,Sunday,01/04/2018 22:04,50
Oliver Bond Street,15,23,Sunday,01/04/2018 23:05,60
Oliver Bond Street,15,6,Monday,02/04/2018 06:08,70
Oliver Bond Street,14,7,Monday,02/04/2018 07:02,70
Oliver Bond Street,14,8,Monday,02/04/2018 08:03,60
Oliver Bond Street,14,9,Monday,02/04/2018 09:01,70
Oliver Bond Street,14,10,Monday,02/04/2018 10:05,65
Oliver Bond Street,15,11,Monday,02/04/2018 11:08,70
Oliver Bond Street,14,12,Monday,02/04/2018 12:03,70
Oliver Bond Street,15,13,Monday,02/04/2018 13:05,70
Oliver Bond Street,15,14,Monday,02/04/2018 14:02,60
Oliver Bond Street,14,15,Monday,02/04/2018 15:03,60
Oliver Bond Street,12,16,Monday,02/04/2018 16:09,60
Oliver Bond Street,12,17,Monday,02/04/2018 17:08,50
Oliver Bond Street,11,18,Monday,02/04/2018 18:03,40
Oliver Bond Street,10,19,Monday,02/04/2018 19:09,0
Oliver Bond Street,11,20,Monday,02/04/2018 20:05,0
Oliver Bond Street,11,21,Monday,02/04/2018 21:01,40
Oliver Bond Street,10,22,Monday,02/04/2018 22:05,50
Oliver Bond Street,10,23,Monday,02/04/2018 23:06,60
Oliver Bond Street,6,6,Tuesday,03/04/2018 06:01,0
Oliver Bond Street,9,7,Tuesday,03/04/2018 07:02,20
Oliver Bond Street,1,8,Tuesday,03/04/2018 08:01,20
Oliver Bond Street,0,9,Tuesday,03/04/2018 09:09,0
Oliver Bond Street,0,10,Tuesday,03/04/2018 10:03,0
Oliver Bond Street,2,11,Tuesday,03/04/2018 11:03,0
Oliver Bond Street,1,12,Tuesday,03/04/2018 12:00,30
Oliver Bond Street,1,13,Tuesday,03/04/2018 13:04,40
Oliver Bond Street,5,14,Tuesday,03/04/2018 14:04,20
Oliver Bond Street,8,15,Tuesday,03/04/2018 15:02,20
Oliver Bond Street,16,16,Tuesday,03/04/2018 16:02,30
Oliver Bond Street,19,17,Tuesday,03/04/2018 17:03,0
Oliver Bond Street,20,18,Tuesday,03/04/2018 18:05,0
Oliver Bond Street,21,19,Tuesday,03/04/2018 19:00,0
Oliver Bond Street,22,20,Tuesday,03/04/2018 20:03,0
Oliver Bond Street,25,21,Tuesday,03/04/2018 21:08,0
Oliver Bond Street,24,22,Tuesday,03/04/2018 22:03,0
Oliver Bond Street,24,23,Tuesday,03/04/2018 23:04,0
Oliver Bond Street,19,6,Wednesday,04/04/2018 06:09,40
Oliver Bond Street,14,7,Wednesday,04/04/2018 07:00,40
Oliver Bond Street,8,8,Wednesday,04/04/2018 08:01,30
Oliver Bond Street,7,9,Wednesday,04/04/2018 09:09,40
Oliver Bond Street,5,10,Wednesday,04/04/2018 10:03,40
Oliver Bond Street,12,11,Wednesday,04/04/2018 11:04,20
Oliver Bond Street,13,12,Wednesday,04/04/2018 12:05,0
Oliver Bond Street,10,13,Wednesday,04/04/2018 13:05,10
Oliver Bond Street,7,14,Wednesday,04/04/2018 14:00,0
Oliver Bond Street,26,15,Wednesday,04/04/2018 15:01,20
Oliver Bond Street,26,16,Wednesday,04/04/2018 16:06,20
Oliver Bond Street,27,17,Wednesday,04/04/2018 17:03,40
Oliver Bond Street,25,18,Wednesday,04/04/2018 18:00,0
Oliver Bond Street,25,19,Wednesday,04/04/2018 19:02,0
Oliver Bond Street,27,20,Wednesday,04/04/2018 20:05,0
Oliver Bond Street,27,21,Wednesday,04/04/2018 21:07,40
Oliver Bond Street,29,22,Wednesday,04/04/2018 22:05,30
Oliver Bond Street,29,23,Wednesday,04/04/2018 23:06,30
