address,round(avg(available_bikes)),HOUR,DOW,last_update,rain_in_mm
South Dock Road,1,6,Thursday,29/03/2018 06:08,0
South Dock Road,5,7,Thursday,29/03/2018 07:05,0
South Dock Road,16,8,Thursday,29/03/2018 08:00,0
South Dock Road,19,9,Thursday,29/03/2018 09:08,0
South Dock Road,20,10,Thursday,29/03/2018 10:05,0
South Dock Road,17,11,Thursday,29/03/2018 11:03,10
South Dock Road,18,12,Thursday,29/03/2018 12:04,30
South Dock Road,21,13,Thursday,29/03/2018 13:03,30
South Dock Road,22,14,Thursday,29/03/2018 14:00,45
South Dock Road,22,15,Thursday,29/03/2018 15:01,40
South Dock Road,13,16,Thursday,29/03/2018 16:01,30
South Dock Road,9,17,Thursday,29/03/2018 17:01,30
South Dock Road,16,18,Thursday,29/03/2018 18:02,30
South Dock Road,24,19,Thursday,29/03/2018 19:03,40
South Dock Road,27,20,Thursday,29/03/2018 20:07,30
South Dock Road,29,21,Thursday,29/03/2018 21:05,25
South Dock Road,29,22,Thursday,29/03/2018 22:07,30
South Dock Road,30,23,Thursday,29/03/2018 23:03,40
South Dock Road,14,6,Friday,30/03/2018 06:08,0
South Dock Road,11,7,Friday,30/03/2018 07:08,0
South Dock Road,10,8,Friday,30/03/2018 08:00,0
South Dock Road,11,9,Friday,30/03/2018 09:07,0
South Dock Road,9,10,Friday,30/03/2018 10:01,20
South Dock Road,5,11,Friday,30/03/2018 11:00,20
South Dock Road,5,12,Friday,30/03/2018 12:03,20
South Dock Road,8,13,Friday,30/03/2018 13:06,20
South Dock Road,10,14,Friday,30/03/2018 14:06,20
South Dock Road,10,15,Friday,30/03/2018 15:05,0
South Dock Road,6,16,Friday,30/03/2018 16:06,0
South Dock Road,1,17,Friday,30/03/2018 17:08,20
South Dock Road,5,18,Friday,30/03/2018 18:03,0
South Dock Road,8,19,Friday,30/03/2018 19:05,0
South Dock Road,10,20,Friday,30/03/2018 20:01,0
South Dock Road,13,21,Friday,30/03/2018 21:04,0
South Dock Road,16,22,Friday,30/03/2018 22:04,0
South Dock Road,19,23,Friday,30/03/2018 23:10,0
South Dock Road,5,6,Saturday,31/03/2018 06:03,0
South Dock Road,6,7,Saturday,31/03/2018 07:09,0
South Dock Road,8,8,Saturday,31/03/2018 08:05,0
South Dock Road,11,9,Saturday,31/03/2018 09:04,0
South Dock Road,7,10,Saturday,31/03/2018 10:07,0
South Dock Road,5,11,Saturday,31/03/2018 11:05,0
South Dock Road,3,12,Saturday,31/03/2018 12:02,0
South Dock Road,1,13,Saturday,31/03/2018 13:01,0
South Dock Road,2,14,Saturday,31/03/2018 14:00,0
South Dock Road,6,15,Saturday,31/03/2018 15:05,0
South Dock Road,5,16,Saturday,31/03/2018 16:01,0
South Dock Road,7,17,Saturday,31/03/2018 17:03,0
South Dock Road,7,18,Saturday,31/03/2018 18:04,0
South Dock Road,6,19,Saturday,31/03/2018 19:01,0
South Dock Road,4,20,Saturday,31/03/2018 20:04,0
South Dock Road,0,21,Saturday,31/03/2018 21:07,0
South Dock Road,1,22,Saturday,31/03/2018 22:11,0
South Dock Road,3,23,Saturday,31/03/2018 23:05,0
South Dock Road,6,6,Sunday,01/04/2018 06:02,30
South Dock Road,6,7,Sunday,01/04/2018 07:03,30
South Dock Road,7,8,Sunday,01/04/2018 08:04,0
South Dock Road,9,9,Sunday,01/04/2018 09:01,0
South Dock Road,9,10,Sunday,01/04/2018 10:00,0
South Dock Road,9,11,Sunday,01/04/2018 11:00,0
South Dock Road,13,12,Sunday,01/04/2018 12:07,0
South Dock Road,15,13,Sunday,01/04/2018 13:01,0
