address,round(avg(available_bikes)),HOUR,DOW,last_update,rain_in_mm
Wolfe Tone Street,0,6,Thursday,29/03/2018 06:09,0
Wolfe Tone Street,1,7,Thursday,29/03/2018 07:04,0
Wolfe Tone Street,2,8,Thursday,29/03/2018 08:00,0
Wolfe Tone Street,2,9,Thursday,29/03/2018 09:02,0
Wolfe Tone Street,4,10,Thursday,29/03/2018 10:02,0
Wolfe Tone Street,6,11,Thursday,29/03/2018 11:07,10
Wolfe Tone Street,10,12,Thursday,29/03/2018 12:04,30
Wolfe Tone Street,9,13,Thursday,29/03/2018 13:10,30
Wolfe Tone Street,9,14,Thursday,29/03/2018 14:00,45
Wolfe Tone Street,12,15,Thursday,29/03/2018 15:06,40
Wolfe Tone Street,11,16,Thursday,29/03/2018 16:02,30
Wolfe Tone Street,5,17,Thursday,29/03/2018 17:02,30
Wolfe Tone Street,0,18,Thursday,29/03/2018 18:02,30
Wolfe Tone Street,1,19,Thursday,29/03/2018 19:00,40
Wolfe Tone Street,0,20,Thursday,29/03/2018 20:02,30
Wolfe Tone Street,0,21,Thursday,29/03/2018 21:03,25
Wolfe Tone Street,1,22,Thursday,29/03/2018 22:04,30
Wolfe Tone Street,2,23,Thursday,29/03/2018 23:01,40
Wolfe Tone Street,0,6,Friday,30/03/2018 06:08,0
Wolfe Tone Street,0,7,Friday,30/03/2018 07:08,0
Wolfe Tone Street,1,8,Friday,30/03/2018 08:03,0
Wolfe Tone Street,3,9,Friday,30/03/2018 09:00,0
Wolfe Tone Street,8,10,Friday,30/03/2018 10:00,20
Wolfe Tone Street,11,11,Friday,30/03/2018 11:11,20
Wolfe Tone Street,15,12,Friday,30/03/2018 12:02,20
Wolfe Tone Street,19,13,Friday,30/03/2018 13:00,20
Wolfe Tone Street,18,14,Friday,30/03/2018 14:02,20
Wolfe Tone Street,16,15,Friday,30/03/2018 15:03,0
Wolfe Tone Street,12,16,Friday,30/03/2018 16:00,0
Wolfe Tone Street,18,17,Friday,30/03/2018 17:01,20
Wolfe Tone Street,19,18,Friday,30/03/2018 18:03,0
Wolfe Tone Street,18,19,Friday,30/03/2018 19:01,0
Wolfe Tone Street,16,20,Friday,30/03/2018 20:09,0
Wolfe Tone Street,14,21,Friday,30/03/2018 21:03,0
Wolfe Tone Street,13,22,Friday,30/03/2018 22:08,0
Wolfe Tone Street,16,23,Friday,30/03/2018 23:09,0
Wolfe Tone Street,15,6,Saturday,31/03/2018 06:08,0
Wolfe Tone Street,15,7,Saturday,31/03/2018 07:09,0
Wolfe Tone Street,17,8,Saturday,31/03/2018 08:07,0
Wolfe Tone Street,22,9,Saturday,31/03/2018 09:07,0
Wolfe Tone Street,26,10,Saturday,31/03/2018 10:08,0
Wolfe Tone Street,28,11,Saturday,31/03/2018 11:09,0
Wolfe Tone Street,28,12,Saturday,31/03/2018 12:04,0
Wolfe Tone Street,29,13,Saturday,31/03/2018 13:02,0
Wolfe Tone Street,29,14,Saturday,31/03/2018 14:00,0
Wolfe Tone Street,28,15,Saturday,31/03/2018 15:05,0
Wolfe Tone Street,29,16,Saturday,31/03/2018 16:05,0
Wolfe Tone Street,29,17,Saturday,31/03/2018 17:07,0
Wolfe Tone Street,26,18,Saturday,31/03/2018 18:04,0
Wolfe Tone Street,27,19,Saturday,31/03/2018 19:06,0
Wolfe Tone Street,28,20,Saturday,31/03/2018 20:05,0
Wolfe Tone Street,28,21,Saturday,31/03/2018 21:07,0
Wolfe Tone Street,29,22,Saturday,31/03/2018 22:10,0
Wolfe Tone Street,28,23,Saturday,31/03/2018 23:04,0
Wolfe Tone Street,26,6,Sunday,01/04/2018 06:03,30
Wolfe Tone Street,26,7,Sunday,01/04/2018 07:05,30
Wolfe Tone Street,26,8,Sunday,01/04/2018 08:06,0
Wolfe Tone Street,28,9,Sunday,01/04/2018 09:04,0
Wolfe Tone Street,27,10,Sunday,01/04/2018 10:02,0
Wolfe Tone Street,27,11,Sunday,01/04/2018 11:10,0
Wolfe Tone Street,27,12,Sunday,01/04/2018 12:05,0
Wolfe Tone Street,29,13,Sunday,01/04/2018 13:02,0
Wolfe Tone Street,28,14,Sunday,01/04/2018 14:05,0
Wolfe Tone Street,28,15,Sunday,01/04/2018 15:02,0
Wolfe Tone Street,26,16,Sunday,01/04/2018 16:06,0
Wolfe Tone Street,28,17,Sunday,01/04/2018 17:01,0
Wolfe Tone Street,28,18,Sunday,01/04/2018 18:10,0
Wolfe Tone Street,28,19,Sunday,01/04/2018 19:07,0
Wolfe Tone Street,27,20,Sunday,01/04/2018 20:08,45
Wolfe Tone Street,28,21,Sunday,01/04/2018 21:06,50
Wolfe Tone Street,27,22,Sunday,01/04/2018 22:03,50
Wolfe Tone Street,28,23,Sunday,01/04/2018 23:08,60
Wolfe Tone Street,27,6,Monday,02/04/2018 06:09,70
Wolfe Tone Street,26,7,Monday,02/04/2018 07:02,70
Wolfe Tone Street,25,8,Monday,02/04/2018 08:01,60
Wolfe Tone Street,26,9,Monday,02/04/2018 09:02,70
Wolfe Tone Street,28,10,Monday,02/04/2018 10:04,65
Wolfe Tone Street,28,11,Monday,02/04/2018 11:06,70
Wolfe Tone Street,28,12,Monday,02/04/2018 12:07,70
Wolfe Tone Street,29,13,Monday,02/04/2018 13:10,70
Wolfe Tone Street,28,14,Monday,02/04/2018 14:08,60
